ensembl	hgnc
335	ENSG00000013392	21385
336	ENSG00000013441	2068
337	ENSG00000013503	30348
338	ENSG00000013523	19961
339	ENSG00000013561	10058
340	ENSG00000013563	2957
341	ENSG00000013573	2736
342	ENSG00000013583	17176
343	ENSG00000013588	9836
344	ENSG00000013619	2568
345	ENSG00000013725	1691
346	ENSG00000013810	11524
347	ENSG00000014123	23039
348	ENSG00000014138	30073
349	ENSG00000014164	28972
350	ENSG00000014216	1476
351	ENSG00000014257	125
352	ENSG00000014641	6970
353	ENSG00000014824	1329
354	ENSG00000014914	24307
355	ENSG00000014919	2263
356	ENSG00000015133	19967
357	ENSG00000015153	17363
358	ENSG00000015171	16966
359	ENSG00000015285	12731
360	ENSG00000015413	3002
361	ENSG00000015475	1050
362	ENSG00000015479	6912
363	ENSG00000015520	7898
364	ENSG00000015532	15517
365	ENSG00000015568	32418
366	ENSG00000015592	16078
367	ENSG00000015676	22208
368	ENSG00000016082	6132
369	ENSG00000016391	24288
370	ENSG00000016402	6003
371	ENSG00000016490	2015
372	ENSG00000016602	2018
373	ENSG00000016864	24870
374	ENSG00000017260	13211
375	ENSG00000017427	5464
376	ENSG00000017483	18070
377	ENSG00000017797	9841
378	ENSG00000018189	30285
379	ENSG00000018236	2171
380	ENSG00000018280	10907
381	ENSG00000018408	24042
382	ENSG00000018510	327
383	ENSG00000018607	33228
384	ENSG00000018610	26239
385	ENSG00000018625	800
386	ENSG00000018699	25986
387	ENSG00000018869	26421
388	ENSG00000019102	17149
389	ENSG00000019144	23697
390	ENSG00000019169	6895
391	ENSG00000019186	2602
392	ENSG00000019485	13996
393	ENSG00000019505	14962
394	ENSG00000019549	11094
395	ENSG00000019582	1697
396	ENSG00000019991	4893
397	ENSG00000019995	18224
398	ENSG00000020129	17597
399	ENSG00000020181	17849
400	ENSG00000020219	32153
401	ENSG00000020256	15940
402	ENSG00000020426	7181
403	ENSG00000020577	23023
404	ENSG00000020633	10473
405	ENSG00000020922	7230
406	ENSG00000021300	19079
407	ENSG00000021355	3311
408	ENSG00000021461	17450
409	ENSG00000021488	11067
410	ENSG00000021574	11233
411	ENSG00000021645	8010
412	ENSG00000021762	16392
413	ENSG00000021776	29513
414	ENSG00000021826	2323
415	ENSG00000021852	1353
416	ENSG00000022267	3702
417	ENSG00000022277	15890
418	ENSG00000022355	4075
419	ENSG00000022556	22948
420	ENSG00000022567	29196
421	ENSG00000022840	10055
422	ENSG00000022976	20345
423	ENSG00000023041	19160
424	ENSG00000023171	29214
425	ENSG00000023191	10074
426	ENSG00000023228	7707
427	ENSG00000023287	15574
428	ENSG00000023318	18311
429	ENSG00000023330	396
430	ENSG00000023445	591
431	ENSG00000023516	369
432	ENSG00000023572	16065
433	ENSG00000023608	11134
434	ENSG00000023697	24269
435	ENSG00000023734	30796
436	ENSG00000023839	53
437	ENSG00000023892	2760
438	ENSG00000023902	24310
439	ENSG00000023909	4312
440	ENSG00000024048	21289
441	ENSG00000024422	3243
442	ENSG00000024526	22949
443	ENSG00000024862	21098
444	ENSG00000025039	19903
445	ENSG00000025156	5225
446	ENSG00000025293	16098
447	ENSG00000025423	23316
448	ENSG00000025434	7966
449	ENSG00000025708	3148
450	ENSG00000025770	25071
451	ENSG00000025772	15746
452	ENSG00000025796	21082
453	ENSG00000025800	6399
454	ENSG00000026025	12692
455	ENSG00000026036	44095
456	ENSG00000026103	11920
457	ENSG00000026297	21686
458	ENSG00000026508	1681
459	ENSG00000026559	6248
460	ENSG00000026652	20885
461	ENSG00000026751	21394
462	ENSG00000026950	1138
463	ENSG00000027001	7104
464	ENSG00000027075	9403
465	ENSG00000027644	6093
466	ENSG00000027697	5439
467	ENSG00000027847	930
468	ENSG00000027869	10821
469	ENSG00000028116	12719
470	ENSG00000028137	11917
471	ENSG00000028203	18258
472	ENSG00000028277	9213
473	ENSG00000028310	25818
